image,qual_mos,dist_prob
VizWiz_train_00000499,0.751875,"[0.125, 0.03125, 0.125, 0.0625, 0.09375, 0.78125, 0.0]"
VizWiz_train_00000674,0.800294117647059,"[0.058823529411764705, 0.029411764705882353, 0.20588235294117646, 0.029411764705882353, 0.058823529411764705, 0.7058823529411765, 0.0]"
VizWiz_train_00000366,0.383142857142857,"[0.6285714285714286, 0.2571428571428571, 0.3142857142857143, 0.17142857142857143, 0.17142857142857143, 0.0, 0.0]"
VizWiz_train_00000498,0.481666666666667,"[0.5333333333333333, 0.13333333333333333, 0.36666666666666664, 0.13333333333333333, 0.26666666666666666, 0.1, 0.03333333333333333]"
VizWiz_train_00000382,0.575357142857143,"[0.35714285714285715, 0.10714285714285714, 0.10714285714285714, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.0]"
VizWiz_train_00000977,0.763636363636364,"[0.030303030303030304, 0.0, 0.15151515151515152, 0.12121212121212122, 0.12121212121212122, 0.6666666666666666, 0.0]"
VizWiz_train_00000337,0.450833333333333,"[0.3611111111111111, 0.1111111111111111, 0.1111111111111111, 0.19444444444444445, 0.2222222222222222, 0.19444444444444445, 0.0]"
VizWiz_train_00000403,0.648787878787879,"[0.15151515151515152, 0.030303030303030304, 0.6363636363636364, 0.2727272727272727, 0.06060606060606061, 0.21212121212121213, 0.0]"
VizWiz_train_00000365,0.423513513513514,"[0.5675675675675675, 0.3783783783783784, 0.08108108108108109, 0.08108108108108109, 0.2702702702702703, 0.0, 0.0]"
VizWiz_train_00000031,0.49625,"[0.59375, 0.0625, 0.15625, 0.0625, 0.15625, 0.125, 0.0]"
VizWiz_train_00000848,0.351944444444444,"[0.6388888888888888, 0.5277777777777778, 0.027777777777777776, 0.08333333333333333, 0.19444444444444445, 0.0, 0.0]"
VizWiz_train_00000176,0.462,"[0.6, 0.23333333333333334, 0.36666666666666664, 0.1, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333]"
VizWiz_train_00000097,0.764444444444445,"[0.18518518518518517, 0.037037037037037035, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.6666666666666666, 0.0]"
VizWiz_train_00000083,0.5464,"[0.32, 0.08, 0.16, 0.04, 0.44, 0.12, 0.0]"
VizWiz_train_00000834,0.556774193548387,"[0.3548387096774194, 0.12903225806451613, 0.0, 0.06451612903225806, 0.3548387096774194, 0.25806451612903225, 0.0]"
VizWiz_train_00000167,0.607428571428571,"[0.14285714285714285, 0.05714285714285714, 0.37142857142857144, 0.22857142857142856, 0.11428571428571428, 0.2, 0.02857142857142857]"
VizWiz_train_00000141,0.294666666666667,"[0.7666666666666667, 0.6666666666666666, 0.13333333333333333, 0.06666666666666667, 0.3333333333333333, 0.03333333333333333, 0.0]"
VizWiz_train_00000680,0.438076923076923,"[0.15384615384615385, 0.038461538461538464, 0.07692307692307693, 0.5769230769230769, 0.23076923076923078, 0.07692307692307693, 0.0]"
VizWiz_train_00000721,0.742058823529412,"[0.08823529411764706, 0.0, 0.11764705882352941, 0.11764705882352941, 0.029411764705882353, 0.7058823529411765, 0.0]"
VizWiz_train_00000568,0.283666666666667,"[0.6, 0.7333333333333333, 0.13333333333333333, 0.1, 0.13333333333333333, 0.0, 0.0]"
VizWiz_train_00000566,0.379032258064516,"[0.22580645161290322, 0.12903225806451613, 0.0967741935483871, 0.3548387096774194, 0.25806451612903225, 0.2903225806451613, 0.0]"
VizWiz_train_00000445,0.413030303030303,"[0.42424242424242425, 0.2727272727272727, 0.030303030303030304, 0.18181818181818182, 0.3939393939393939, 0.09090909090909091, 0.0]"
VizWiz_train_00000297,0.268235294117647,"[0.7647058823529411, 0.38235294117647056, 0.23529411764705882, 0.08823529411764706, 0.17647058823529413, 0.0, 0.029411764705882353]"
VizWiz_train_00000199,0.471176470588235,"[0.7058823529411765, 0.14705882352941177, 0.11764705882352941, 0.029411764705882353, 0.11764705882352941, 0.058823529411764705, 0.0]"
VizWiz_train_00000831,0.605769230769231,"[0.5, 0.11538461538461539, 0.11538461538461539, 0.038461538461538464, 0.11538461538461539, 0.23076923076923078, 0.0]"
VizWiz_train_00000846,0.593714285714286,"[0.14285714285714285, 0.05714285714285714, 0.17142857142857143, 0.34285714285714286, 0.08571428571428572, 0.34285714285714286, 0.0]"
VizWiz_train_00000121,0.475,"[0.5833333333333334, 0.25, 0.05555555555555555, 0.19444444444444445, 0.1111111111111111, 0.08333333333333333, 0.027777777777777776]"
VizWiz_train_00000189,0.519142857142857,"[0.42857142857142855, 0.2571428571428571, 0.11428571428571428, 0.02857142857142857, 0.22857142857142856, 0.14285714285714285, 0.0]"
VizWiz_train_00000329,0.8,"[0.029411764705882353, 0.0, 0.17647058823529413, 0.029411764705882353, 0.08823529411764706, 0.6764705882352942, 0.029411764705882353]"
VizWiz_train_00000276,0.525,"[0.23333333333333334, 0.06666666666666667, 0.3, 0.36666666666666664, 0.23333333333333334, 0.2, 0.0]"
VizWiz_train_00000296,0.592666666666667,"[0.36666666666666664, 0.2, 0.13333333333333333, 0.06666666666666667, 0.26666666666666666, 0.3333333333333333, 0.0]"
VizWiz_train_00000591,0.647058823529412,"[0.08823529411764706, 0.029411764705882353, 0.29411764705882354, 0.38235294117647056, 0.0, 0.4411764705882353, 0.029411764705882353]"
VizWiz_train_00000770,0.585,"[0.3333333333333333, 0.13333333333333333, 0.03333333333333333, 0.03333333333333333, 0.26666666666666666, 0.4, 0.0]"
VizWiz_train_00000348,0.529166666666667,"[0.3611111111111111, 0.19444444444444445, 0.08333333333333333, 0.08333333333333333, 0.25, 0.2222222222222222, 0.0]"
VizWiz_train_00000685,0.752941176470588,"[0.058823529411764705, 0.0, 0.14705882352941177, 0.11764705882352941, 0.17647058823529413, 0.6176470588235294, 0.0]"
VizWiz_train_00000168,0.630645161290323,"[0.2903225806451613, 0.0967741935483871, 0.25806451612903225, 0.06451612903225806, 0.0967741935483871, 0.3870967741935484, 0.0]"
VizWiz_train_00000807,0.412424242424242,"[0.6363636363636364, 0.18181818181818182, 0.09090909090909091, 0.18181818181818182, 0.12121212121212122, 0.030303030303030304, 0.0]"
VizWiz_train_00000322,0.376774193548387,"[0.7741935483870968, 0.4838709677419355, 0.12903225806451613, 0.0967741935483871, 0.1935483870967742, 0.03225806451612903, 0.0]"
VizWiz_train_00000814,0.755625,"[0.03125, 0.09375, 0.125, 0.125, 0.15625, 0.65625, 0.0]"
VizWiz_train_00000180,0.36,"[0.3125, 0.21875, 0.5625, 0.25, 0.1875, 0.03125, 0.0]"
VizWiz_train_00000023,0.484117647058824,"[0.5, 0.35294117647058826, 0.14705882352941177, 0.11764705882352941, 0.11764705882352941, 0.08823529411764706, 0.0]"
VizWiz_train_00000474,0.420606060606061,"[0.6060606060606061, 0.24242424242424243, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.0]"
VizWiz_train_00000714,0.531470588235294,"[0.5294117647058824, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.23529411764705882, 0.20588235294117646, 0.0]"
VizWiz_train_00000364,0.340833333333333,"[0.6666666666666666, 0.2777777777777778, 0.2222222222222222, 0.1388888888888889, 0.19444444444444445, 0.0, 0.0]"
VizWiz_train_00000477,0.669736842105263,"[0.18421052631578946, 0.13157894736842105, 0.10526315789473684, 0.15789473684210525, 0.13157894736842105, 0.42105263157894735, 0.0]"
VizWiz_train_00000751,0.3415625,"[0.65625, 0.1875, 0.125, 0.09375, 0.25, 0.03125, 0.0]"
VizWiz_train_00000378,0.700645161290323,"[0.06451612903225806, 0.0, 0.06451612903225806, 0.0967741935483871, 0.2903225806451613, 0.6774193548387096, 0.0]"
VizWiz_train_00000163,0.566451612903226,"[0.25806451612903225, 0.0967741935483871, 0.6774193548387096, 0.2903225806451613, 0.16129032258064516, 0.12903225806451613, 0.0]"
VizWiz_train_00000992,0.537096774193548,"[0.41935483870967744, 0.1935483870967742, 0.06451612903225806, 0.22580645161290322, 0.1935483870967742, 0.22580645161290322, 0.0]"
VizWiz_train_00000793,0.613428571428571,"[0.34285714285714286, 0.17142857142857143, 0.14285714285714285, 0.02857142857142857, 0.14285714285714285, 0.34285714285714286, 0.0]"
VizWiz_train_00000833,0.276451612903226,"[0.3225806451612903, 0.16129032258064516, 0.9032258064516129, 0.22580645161290322, 0.06451612903225806, 0.0, 0.0]"
VizWiz_train_00000375,0.735862068965517,"[0.10344827586206896, 0.06896551724137931, 0.06896551724137931, 0.0, 0.1724137931034483, 0.7586206896551724, 0.0]"
VizWiz_train_00000939,0.476,"[0.5666666666666667, 0.23333333333333334, 0.06666666666666667, 0.1, 0.3333333333333333, 0.1, 0.0]"
VizWiz_train_00000020,0.649722222222222,"[0.1388888888888889, 0.027777777777777776, 0.1111111111111111, 0.08333333333333333, 0.1388888888888889, 0.5555555555555556, 0.0]"
VizWiz_train_00000022,0.5525,"[0.4166666666666667, 0.25, 0.19444444444444445, 0.05555555555555555, 0.1111111111111111, 0.16666666666666666, 0.0]"
VizWiz_train_00000050,0.575161290322581,"[0.41935483870967744, 0.25806451612903225, 0.0967741935483871, 0.0967741935483871, 0.22580645161290322, 0.12903225806451613, 0.0]"
VizWiz_train_00000514,0.299090909090909,"[0.6666666666666666, 0.3333333333333333, 0.06060606060606061, 0.15151515151515152, 0.36363636363636365, 0.0, 0.0]"
VizWiz_train_00000781,0.304615384615385,"[0.4230769230769231, 0.15384615384615385, 0.07692307692307693, 0.23076923076923078, 0.3076923076923077, 0.15384615384615385, 0.0]"
VizWiz_train_00000219,0.316923076923077,"[0.8076923076923077, 0.23076923076923078, 0.11538461538461539, 0.11538461538461539, 0.15384615384615385, 0.0, 0.0]"
VizWiz_train_00000603,0.248064516129032,"[0.5483870967741935, 0.6774193548387096, 0.03225806451612903, 0.12903225806451613, 0.1935483870967742, 0.0, 0.0]"
VizWiz_train_00000358,0.411290322580645,"[0.6774193548387096, 0.25806451612903225, 0.12903225806451613, 0.2903225806451613, 0.1935483870967742, 0.0967741935483871, 0.0]"
VizWiz_train_00000311,0.245945945945946,"[0.21621621621621623, 0.13513513513513514, 0.21621621621621623, 0.7567567567567568, 0.1891891891891892, 0.02702702702702703, 0.0]"
VizWiz_train_00000697,0.754,"[0.02857142857142857, 0.05714285714285714, 0.2, 0.02857142857142857, 0.08571428571428572, 0.6285714285714286, 0.0]"
VizWiz_train_00000013,0.565454545454545,"[0.45454545454545453, 0.18181818181818182, 0.21212121212121213, 0.0, 0.09090909090909091, 0.24242424242424243, 0.0]"
VizWiz_train_00000415,0.627777777777778,"[0.1111111111111111, 0.0, 0.2222222222222222, 0.25, 0.25, 0.3333333333333333, 0.0]"
VizWiz_train_00000535,0.591176470588235,"[0.3235294117647059, 0.029411764705882353, 0.08823529411764706, 0.058823529411764705, 0.14705882352941177, 0.4117647058823529, 0.0]"
VizWiz_train_00000917,0.6178125,"[0.1875, 0.09375, 0.03125, 0.375, 0.25, 0.28125, 0.0]"
VizWiz_train_00000239,0.26735294117647,"[0.7941176470588235, 0.35294117647058826, 0.0, 0.058823529411764705, 0.2647058823529412, 0.0, 0.0]"
VizWiz_train_00000182,0.672777777777778,"[0.19444444444444445, 0.0, 0.19444444444444445, 0.0, 0.2777777777777778, 0.4166666666666667, 0.0]"
VizWiz_train_00000503,0.519393939393939,"[0.42424242424242425, 0.24242424242424243, 0.06060606060606061, 0.09090909090909091, 0.12121212121212122, 0.18181818181818182, 0.0]"
VizWiz_train_00000545,0.575,"[0.5384615384615384, 0.15384615384615385, 0.11538461538461539, 0.038461538461538464, 0.11538461538461539, 0.15384615384615385, 0.0]"
VizWiz_train_00000253,0.75030303030303,"[0.09090909090909091, 0.030303030303030304, 0.09090909090909091, 0.030303030303030304, 0.06060606060606061, 0.7878787878787878, 0.0]"
VizWiz_train_00000895,0.6096875,"[0.15625, 0.0625, 0.34375, 0.1875, 0.28125, 0.28125, 0.0]"
VizWiz_train_00000749,0.188571428571429,"[0.8, 0.5142857142857142, 0.0, 0.05714285714285714, 0.08571428571428572, 0.0, 0.0]"
VizWiz_train_00000277,0.3990625,"[0.6875, 0.25, 0.03125, 0.09375, 0.21875, 0.03125, 0.0]"
VizWiz_train_00000227,0.206363636363636,"[0.7878787878787878, 0.5151515151515151, 0.0, 0.030303030303030304, 0.30303030303030304, 0.0, 0.0]"
VizWiz_train_00000345,0.758965517241379,"[0.10344827586206896, 0.10344827586206896, 0.1724137931034483, 0.10344827586206896, 0.1724137931034483, 0.6551724137931034, 0.0]"
VizWiz_train_00000293,0.546571428571429,"[0.17142857142857143, 0.05714285714285714, 0.5428571428571428, 0.2571428571428571, 0.11428571428571428, 0.14285714285714285, 0.0]"
VizWiz_train_00000084,0.813,"[0.13333333333333333, 0.1, 0.16666666666666666, 0.06666666666666667, 0.06666666666666667, 0.5666666666666667, 0.0]"
VizWiz_train_00000639,0.247142857142857,"[0.6571428571428571, 0.4, 0.02857142857142857, 0.14285714285714285, 0.17142857142857143, 0.02857142857142857, 0.0]"
VizWiz_train_00000041,0.321666666666667,"[0.6388888888888888, 0.3333333333333333, 0.2777777777777778, 0.1111111111111111, 0.19444444444444445, 0.0, 0.0]"
VizWiz_train_00000111,0.818857142857143,"[0.17142857142857143, 0.0, 0.22857142857142856, 0.05714285714285714, 0.05714285714285714, 0.6285714285714286, 0.0]"
VizWiz_train_00000989,0.527692307692308,"[0.3076923076923077, 0.0, 0.11538461538461539, 0.038461538461538464, 0.3076923076923077, 0.34615384615384615, 0.0]"
VizWiz_train_00000794,0.653611111111111,"[0.25, 0.05555555555555555, 0.4166666666666667, 0.05555555555555555, 0.2222222222222222, 0.2222222222222222, 0.05555555555555555]"
VizWiz_train_00000803,0.220571428571429,"[0.05714285714285714, 0.0, 0.2, 0.9714285714285714, 0.11428571428571428, 0.02857142857142857, 0.0]"
VizWiz_train_00000725,0.1371875,"[0.78125, 0.34375, 0.03125, 0.40625, 0.34375, 0.0, 0.0]"
VizWiz_train_00000232,0.3468,"[0.12, 0.04, 0.0, 0.64, 0.04, 0.24, 0.0]"
VizWiz_train_00000231,0.358181818181818,"[0.5151515151515151, 0.48484848484848486, 0.36363636363636365, 0.3333333333333333, 0.06060606060606061, 0.030303030303030304, 0.0]"
VizWiz_train_00000479,0.306774193548387,"[0.45161290322580644, 0.3548387096774194, 0.6774193548387096, 0.22580645161290322, 0.1935483870967742, 0.03225806451612903, 0.03225806451612903]"
VizWiz_train_00000790,0.501875,"[0.15625, 0.0625, 0.03125, 0.8125, 0.28125, 0.15625, 0.0]"
VizWiz_train_00000157,0.456,"[0.7, 0.26666666666666666, 0.1, 0.06666666666666667, 0.3, 0.06666666666666667, 0.0]"
VizWiz_train_00000051,0.44375,"[0.75, 0.25, 0.09375, 0.0625, 0.03125, 0.0, 0.0]"
VizWiz_train_00000552,0.4975,"[0.4722222222222222, 0.3888888888888889, 0.16666666666666666, 0.027777777777777776, 0.16666666666666666, 0.05555555555555555, 0.0]"
VizWiz_train_00000882,0.353636363636364,"[0.5757575757575758, 0.42424242424242425, 0.09090909090909091, 0.24242424242424243, 0.3333333333333333, 0.06060606060606061, 0.0]"
VizWiz_train_00000496,0.462285714285714,"[0.3142857142857143, 0.2, 0.2, 0.37142857142857144, 0.17142857142857143, 0.0, 0.0]"
VizWiz_train_00000648,0.460285714285714,"[0.6, 0.2571428571428571, 0.05714285714285714, 0.08571428571428572, 0.14285714285714285, 0.02857142857142857, 0.0]"
VizWiz_train_00000049,0.658518518518518,"[0.5555555555555556, 0.037037037037037035, 0.2222222222222222, 0.07407407407407407, 0.037037037037037035, 0.2222222222222222, 0.0]"
VizWiz_train_00000482,0.194705882352941,"[0.6764705882352942, 0.6764705882352942, 0.029411764705882353, 0.029411764705882353, 0.058823529411764705, 0.0, 0.0]"
VizWiz_train_00000584,0.687352941176471,"[0.20588235294117646, 0.029411764705882353, 0.20588235294117646, 0.029411764705882353, 0.11764705882352941, 0.47058823529411764, 0.0]"
VizWiz_train_00000761,0.758529411764706,"[0.17647058823529413, 0.058823529411764705, 0.14705882352941177, 0.08823529411764706, 0.08823529411764706, 0.5882352941176471, 0.0]"
VizWiz_train_00000759,0.734,"[0.11428571428571428, 0.0, 0.17142857142857143, 0.02857142857142857, 0.17142857142857143, 0.5714285714285714, 0.0]"
VizWiz_train_00000870,0.208333333333333,"[0.2222222222222222, 0.08333333333333333, 0.6666666666666666, 0.5, 0.05555555555555555, 0.0, 0.0]"
VizWiz_train_00000011,0.436764705882353,"[0.5588235294117647, 0.23529411764705882, 0.058823529411764705, 0.058823529411764705, 0.20588235294117646, 0.11764705882352941, 0.0]"
VizWiz_train_00000778,0.165151515151515,"[0.45454545454545453, 0.24242424242424243, 0.6666666666666666, 0.09090909090909091, 0.09090909090909091, 0.0, 0.0]"
VizWiz_train_00000626,0.589393939393939,"[0.3939393939393939, 0.36363636363636365, 0.09090909090909091, 0.030303030303030304, 0.18181818181818182, 0.15151515151515152, 0.0]"
VizWiz_train_00000200,0.386785714285714,"[0.8214285714285714, 0.35714285714285715, 0.03571428571428571, 0.10714285714285714, 0.07142857142857142, 0.03571428571428571, 0.0]"
VizWiz_train_00000104,0.683888888888889,"[0.19444444444444445, 0.0, 0.08333333333333333, 0.08333333333333333, 0.05555555555555555, 0.6111111111111112, 0.0]"
VizWiz_train_00000289,0.6944,"[0.08, 0.2, 0.16, 0.08, 0.12, 0.48, 0.0]"
VizWiz_train_00000359,0.371764705882353,"[0.6470588235294118, 0.2647058823529412, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.058823529411764705, 0.0]"
VizWiz_train_00000856,0.743,"[0.1, 0.03333333333333333, 0.4, 0.23333333333333334, 0.1, 0.43333333333333335, 0.0]"
VizWiz_train_00000075,0.366774193548387,"[0.6774193548387096, 0.6129032258064516, 0.12903225806451613, 0.0, 0.25806451612903225, 0.0, 0.0]"
VizWiz_train_00000138,0.284054054054054,"[0.6756756756756757, 0.43243243243243246, 0.32432432432432434, 0.08108108108108109, 0.13513513513513514, 0.0, 0.0]"
VizWiz_train_00000137,0.615945945945946,"[0.35135135135135137, 0.13513513513513514, 0.1891891891891892, 0.08108108108108109, 0.32432432432432434, 0.13513513513513514, 0.0]"
VizWiz_train_00000762,0.522647058823529,"[0.2647058823529412, 0.08823529411764706, 0.7058823529411765, 0.14705882352941177, 0.11764705882352941, 0.08823529411764706, 0.0]"
VizWiz_train_00000576,0.551481481481482,"[0.4074074074074074, 0.1111111111111111, 0.25925925925925924, 0.14814814814814814, 0.037037037037037035, 0.2222222222222222, 0.0]"
VizWiz_train_00000197,0.361818181818182,"[0.696969696969697, 0.15151515151515152, 0.09090909090909091, 0.15151515151515152, 0.18181818181818182, 0.030303030303030304, 0.0]"
VizWiz_train_00000355,0.742647058823529,"[0.08823529411764706, 0.0, 0.2647058823529412, 0.029411764705882353, 0.058823529411764705, 0.6176470588235294, 0.0]"
VizWiz_train_00000057,0.675882352941177,"[0.20588235294117646, 0.0, 0.11764705882352941, 0.11764705882352941, 0.08823529411764706, 0.47058823529411764, 0.0]"
VizWiz_train_00000096,0.377096774193548,"[0.9032258064516129, 0.45161290322580644, 0.1935483870967742, 0.06451612903225806, 0.16129032258064516, 0.03225806451612903, 0.0]"
VizWiz_train_00000331,0.643333333333333,"[0.13333333333333333, 0.06666666666666667, 0.13333333333333333, 0.3, 0.1, 0.4666666666666667, 0.0]"
VizWiz_train_00000471,0.588529411764706,"[0.08823529411764706, 0.14705882352941177, 0.5294117647058824, 0.11764705882352941, 0.058823529411764705, 0.23529411764705882, 0.029411764705882353]"
VizWiz_train_00000383,0.634411764705882,"[0.14705882352941177, 0.08823529411764706, 0.20588235294117646, 0.2647058823529412, 0.058823529411764705, 0.38235294117647056, 0.029411764705882353]"
VizWiz_train_00000224,0.671176470588235,"[0.11764705882352941, 0.058823529411764705, 0.6470588235294118, 0.11764705882352941, 0.058823529411764705, 0.20588235294117646, 0.029411764705882353]"
VizWiz_train_00000334,0.602647058823529,"[0.11764705882352941, 0.11764705882352941, 0.14705882352941177, 0.23529411764705882, 0.23529411764705882, 0.3235294117647059, 0.029411764705882353]"
VizWiz_train_00000607,0.461612903225806,"[0.6129032258064516, 0.1935483870967742, 0.06451612903225806, 0.0967741935483871, 0.41935483870967744, 0.0967741935483871, 0.0]"
VizWiz_train_00000458,0.308529411764706,"[0.7352941176470589, 0.35294117647058826, 0.058823529411764705, 0.08823529411764706, 0.11764705882352941, 0.029411764705882353, 0.0]"
VizWiz_train_00000716,0.401081081081081,"[0.6756756756756757, 0.24324324324324326, 0.02702702702702703, 0.08108108108108109, 0.16216216216216217, 0.08108108108108109, 0.0]"
VizWiz_train_00000463,0.456176470588235,"[0.5, 0.17647058823529413, 0.058823529411764705, 0.058823529411764705, 0.2647058823529412, 0.17647058823529413, 0.0]"
VizWiz_train_00000636,0.510666666666667,"[0.36666666666666664, 0.26666666666666666, 0.16666666666666666, 0.06666666666666667, 0.3, 0.2, 0.0]"
VizWiz_train_00000061,0.609354838709677,"[0.3548387096774194, 0.03225806451612903, 0.16129032258064516, 0.06451612903225806, 0.1935483870967742, 0.41935483870967744, 0.0]"
VizWiz_train_00000371,0.529722222222222,"[0.08333333333333333, 0.027777777777777776, 0.5, 0.08333333333333333, 0.1111111111111111, 0.2777777777777778, 0.027777777777777776]"
VizWiz_train_00000288,0.680909090909091,"[0.030303030303030304, 0.030303030303030304, 0.36363636363636365, 0.21212121212121213, 0.09090909090909091, 0.48484848484848486, 0.0]"
VizWiz_train_00000932,0.739090909090909,"[0.15151515151515152, 0.09090909090909091, 0.3939393939393939, 0.030303030303030304, 0.030303030303030304, 0.5151515151515151, 0.030303030303030304]"
VizWiz_train_00000002,0.732058823529412,"[0.11764705882352941, 0.029411764705882353, 0.3235294117647059, 0.0, 0.058823529411764705, 0.5294117647058824, 0.0]"
VizWiz_train_00000082,0.5984,"[0.48, 0.16, 0.16, 0.0, 0.16, 0.12, 0.0]"
VizWiz_train_00000343,0.4832,"[0.44, 0.36, 0.2, 0.0, 0.12, 0.08, 0.0]"
VizWiz_train_00000567,0.656875,"[0.0625, 0.03125, 0.59375, 0.0625, 0.09375, 0.3125, 0.0]"
VizWiz_train_00000975,0.415,"[0.6071428571428571, 0.5, 0.03571428571428571, 0.0, 0.32142857142857145, 0.0, 0.0]"
VizWiz_train_00000353,0.472058823529412,"[0.5588235294117647, 0.29411764705882354, 0.17647058823529413, 0.11764705882352941, 0.23529411764705882, 0.058823529411764705, 0.0]"
VizWiz_train_00000432,0.809090909090909,"[0.12121212121212122, 0.030303030303030304, 0.30303030303030304, 0.0, 0.0, 0.6060606060606061, 0.0]"
VizWiz_train_00000501,0.254705882352941,"[0.5294117647058824, 0.20588235294117646, 0.058823529411764705, 0.14705882352941177, 0.38235294117647056, 0.058823529411764705, 0.0]"
VizWiz_train_00000960,0.409117647058824,"[0.4117647058823529, 0.17647058823529413, 0.20588235294117646, 0.2647058823529412, 0.20588235294117646, 0.058823529411764705, 0.0]"
VizWiz_train_00000564,0.560769230769231,"[0.4230769230769231, 0.38461538461538464, 0.11538461538461539, 0.0, 0.15384615384615385, 0.15384615384615385, 0.0]"
VizWiz_train_00000614,0.682,"[0.16666666666666666, 0.06666666666666667, 0.16666666666666666, 0.03333333333333333, 0.2, 0.6, 0.03333333333333333]"
VizWiz_train_00000883,0.5125,"[0.1875, 0.0625, 0.59375, 0.1875, 0.15625, 0.125, 0.0]"
VizWiz_train_00000710,0.437941176470588,"[0.6176470588235294, 0.4411764705882353, 0.029411764705882353, 0.058823529411764705, 0.11764705882352941, 0.029411764705882353, 0.0]"
VizWiz_train_00000739,0.257567567567568,"[0.5675675675675675, 0.10810810810810811, 0.6486486486486487, 0.13513513513513514, 0.08108108108108109, 0.02702702702702703, 0.0]"
VizWiz_train_00000695,0.566764705882353,"[0.08823529411764706, 0.029411764705882353, 0.6470588235294118, 0.08823529411764706, 0.08823529411764706, 0.11764705882352941, 0.0]"
VizWiz_train_00000115,0.38625,"[0.65625, 0.21875, 0.09375, 0.09375, 0.25, 0.03125, 0.0]"
VizWiz_train_00000270,0.6625,"[0.09375, 0.0625, 0.09375, 0.21875, 0.21875, 0.59375, 0.0]"
VizWiz_train_00000706,0.668823529411765,"[0.0, 0.08823529411764706, 0.17647058823529413, 0.14705882352941177, 0.058823529411764705, 0.5588235294117647, 0.0]"
VizWiz_train_00000404,0.7668,"[0.2, 0.08, 0.12, 0.0, 0.0, 0.64, 0.0]"
VizWiz_train_00000112,0.742222222222222,"[0.14814814814814814, 0.07407407407407407, 0.18518518518518517, 0.037037037037037035, 0.14814814814814814, 0.5185185185185185, 0.0]"
VizWiz_train_00000560,0.463823529411765,"[0.5882352941176471, 0.23529411764705882, 0.17647058823529413, 0.0, 0.17647058823529413, 0.058823529411764705, 0.0]"
VizWiz_train_00000509,0.6325,"[0.16666666666666666, 0.05555555555555555, 0.2777777777777778, 0.1111111111111111, 0.16666666666666666, 0.3611111111111111, 0.0]"
VizWiz_train_00000755,0.44974358974359,"[0.358974358974359, 0.1794871794871795, 0.20512820512820512, 0.20512820512820512, 0.28205128205128205, 0.1282051282051282, 0.02564102564102564]"
VizWiz_train_00000816,0.612692307692308,"[0.2692307692307692, 0.038461538461538464, 0.15384615384615385, 0.038461538461538464, 0.19230769230769232, 0.34615384615384615, 0.0]"
VizWiz_train_00000898,0.724166666666667,"[0.05555555555555555, 0.05555555555555555, 0.2777777777777778, 0.05555555555555555, 0.1388888888888889, 0.5, 0.027777777777777776]"
VizWiz_train_00000214,0.3003125,"[0.625, 0.59375, 0.1875, 0.09375, 0.125, 0.03125, 0.0]"
